metric_type,metric_name,value,unit
workflow,duration,4.270387,seconds
workflow,total_tasks,5,count
workflow,completed_tasks,5,count
workflow,failed_tasks,0,count
workflow,error_count,1,count
agent,planning_avg_execution_time,0.508306,seconds
agent,supervisor_avg_execution_time,0.1634198,seconds
agent,database_avg_execution_time,0.300788,seconds
agent,backend_avg_execution_time,0.716853,seconds
agent,frontend_avg_execution_time,0.304907,seconds
agent,testing_avg_execution_time,0.30302,seconds
agent,deployment_avg_execution_time,1.114158,seconds
agent,planning_total_execution_time,0.508306,seconds
agent,supervisor_total_execution_time,0.817099,seconds
agent,database_total_execution_time,0.300788,seconds
agent,backend_total_execution_time,0.716853,seconds
agent,frontend_total_execution_time,0.304907,seconds
agent,testing_total_execution_time,0.30302,seconds
agent,deployment_total_execution_time,1.114158,seconds
retry,backend_retry_count,1,count
